gender,age,education,major,regions,eservice_usage,device_skill_level,freq_used,connection_type,used_purpose,PC_OS,phone_OS,security_apps,secure_level,check_legitimacy,pass_my_info,clicking_on_banners,privacy_settings,SM_services_protect_info,terms_conditions,change_pass_frequently,feel_safe_public_Wi-Fi,no_value_to_hackers?,install_software_updates,careful_clicking_on_links,Internet_security,Internet_security_up_to_date,updated_about_CC_(offline Sources),updated_about_CC(_Online Sources),avoid_disclosing,risk_increased,not_secure,protected,Accept_surveillance,law_manage,informed_threat,phishing_emails,identity_theft,malware,unable_access_online,encountering_extremism,online_extortion,concerned_about_identity_theft,concerned_about_encountering_child_pornography,concerned_about_receiving_phishing_emails,concerned_about_not_being_able_to_access_online,concerned_about_encountering_religious_extremism_material_,opinion_about_online_extortion,future_feeling_CC,government_responsible,media_responsible,tele_responsible,user_responsible,education_responsible,government_role,victim,not_victim_would_like_to_report,new_major,new_ragions,updated_about_CC_(offline Sources)_2,updated_about_CC(_Online Sources)_2
Female,Adult,Postgraduate,Medicine or public health,Eastern Province,Frequently,Intermediate,3,Public Wi-Fi,4,I don't know,IOS,"Authentication (e.g. password, PIN)",Not sure ,Never,Always,Often,Never,Never,Never,Never,Always,Often,Seldom,Seldom,1,No,"Newspapers, magazines, Posters, I do not feel that I keep myself updated","Internet, website, email bulletins, blogs, etc., I do not feel that I keep myself updated",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Sometimes,Never,Always,Do not know,Always,Always,Always,Do not know,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Don’t know,Yes,"No, I would not",Not Technical,Eastern Province,Yes,Yes
Female,Mature adulthood,Undergraduate,Computer Science,Asir,Frequently,Intermediate,1,Private Wi-Fi,1,Windows,IOS,Anti-virus,Very secure,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,2,No,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,serious issue,Agree,Neutral,Neutral,Neutral,Neutral,monitor organisations,No,"Yes, I would",Technical,Southern_Province,No,Yes
Male,Adult,Undergraduate,Languages,Madina,Once a day,Beginner,1,Cellular network,3,I don't know,I don't know,"Authentication (e.g. password, PIN)",Very secure,Sometimes,Often,Always,Often,Sometimes,Often,Always,Seldom,Often,Often,Always,0,No,"Newspapers, magazines, Posters, Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc.",Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Do not know,Do not know,Never,Never,Do not know,Do not know,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,public awareness,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Male,Mature adulthood,Postgraduate,Statics,Eastern Province,Frequently,Intermediate,3,Private Wi-Fi,5,Windows,Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN) ,Backup",Very secure,Often,Seldom,Always,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Always,3,Yes,"Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs","Internet, website, email bulletins, blogs, etc., Rely on automatic updates",Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Do not know,Sometimes,Do not know,Sometimes,Do not know,Always,Always,Always,Sometimes,Always,Always,serious issue,Agree,Agree,Agree,Strongly Agree,Neutral,strict laws and punishments,No,"Yes, I would",Not Technical,Eastern Province,Yes,Yes
Male,Adult,Postgraduate,Education,Asir,Frequently,Intermediate,2,Private Wi-Fi,4,Windows,Android,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Very secure,Often,Often,Often,Often,Sometimes,Seldom,Seldom,Often,Sometimes,Seldom,Seldom,2,No,I do not feel that I keep myself updated,"TV, news, radio",Strongly Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Sometimes,Do not know,Sometimes,Do not know,Do not know,Never,Somtimes,Never,Sometimes,Never,Never,Sometimes,serious issue,Agree,Strongly Agree,Agree,Strongly Agree,Agree,monitor organisations,Yes,"No, I would not",Not Technical,Southern_Province,No,Yes
Male,Mature adulthood,Postgraduate,Education,Makkah,Frequently,Intermediate,4,Public Wi-Fi,5,Windows,Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN) ,Backup",Very secure,Often,Often,Often,Often,Often,Sometimes,Always,Sometimes,Often,Often,Often,4,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs","TV, news, radio, Government websites (e.g. CERT),Internet service provider ISPs",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Do not know,Always,Always,Do not know,Do not know,Do not know,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Male,Early adulthood,High School,Business Administration,Riyadh,Frequently,Intermediate,1,Cellular network,1,Windows,IOS,Anti-virus,Neutral,Often,Often,Always,Often,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Seldom,Often,1,No,I do not feel that I keep myself updated,"TV, news, radio, Internet, website, email bulletins, blogs, etc.",Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Do not know,Do not know,Do not know,Do not know,Never,Never,Do not know,Never,Always,Always,Always,Do not know,vanish eventually,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Central_Province,No,Yes
Male,Early adulthood,Undergraduate,Languages,Makkah,Frequently,Intermediate,1,Cellular network,1,I don't know,IOS,Software update,Not secure,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs",I do not feel that I keep myself updated,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,no change,Neutral,Neutral,Neutral,Neutral,Neutral,Don’t know,Yes,"No, I would not",Not Technical,Western_Province,Yes,No
Male,Adult,Undergraduate,Education,Eastern Province,Frequently,Expert ,3,Private Wi-Fi,4,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Very secure,Always,Never,Always,Always,Never,Often,Always,Never,Never,Always,Always,2,Yes,"Internet service provider ISPs, Government or professional reports","Government websites (e.g. CERT),Internet service provider ISPs",Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Always,Never,Always,Never,Always,Never,Always,Do not know,Always,Always,Always,Always,serious issue,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,global cyber security,Yes,"No, I would not",Not Technical,Eastern Province,No,No
Male,Adult,Postgraduate,Social Science,Riyadh,Frequently,Intermediate,1,Cellular network,2,mac OS,IOS,Firewall,Not sure ,Often,Seldom,Always,Always,Often,Often,Often,Often,Often,Often,Often,2,Yes,Government or professional reports,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Sometimes,Do not know,Do not know,Do not know,Sometimes,Do not know,Somtimes,Always,Always,Never,Always,Sometimes,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Central_Province,No,Yes
Male,Adult,Undergraduate,Engineering,Eastern Province,Frequently,Intermediate,2,Public Wi-Fi,6,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update",Very secure,Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,Always,2,Yes,"Government or professional reports, I do not feel that I keep myself updated","Rely on automatic updates, I do not feel that I keep myself updated",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Always,Always,Always,Always,Always,Always,serious issue,Agree,Agree,Agree,Agree,Agree,No role,No,"Yes, I would",Not Technical,Eastern Province,No,No
Male,Adult,Undergraduate,Languages,Makkah,Frequently,Intermediate,4,Cellular network,5,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Often,Seldom,Always,Often,Sometimes,Sometimes,Always,Seldom,Sometimes,Often,Always,3,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT), Rely on automatic updates",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Always,Sometimes,Do not know,Do not know,Always,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,serious issue,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Female,Adult,Undergraduate,Languages,Eastern Province,Frequently,Intermediate,1,Cellular network,4,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Often,Seldom,Always,Always,Always,Seldom,Never,Often,Sometimes,Always,Always,1,Yes,Government or professional reports,I do not feel that I keep myself updated,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Do not know,Never,Always,Sometimes,Always,Always,Always,Sometimes,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Eastern Province,No,No
Male,Mature adulthood,Undergraduate,Social Science,Makkah,Frequently,Expert ,2,Private Wi-Fi,5,Windows,Android,Anti-virus,Not secure,Often,Never,Always,Always,Always,Never,Often,Never,Always,Always,Always,1,Yes,"Professional activities: conferences, meetings, briefings, etc., Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Always,Never,Do not know,Never,Do not know,Never,Always,Always,Always,Always,Always,Always,vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Don’t know,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Male,Early adulthood,Undergraduate,Engineering,Riyadh,Frequently,Intermediate,3,Private Wi-Fi,6,Windows,IOS,Software update,Very secure,Seldom,Often,Always,Always,Always,Never,Always,Never,Often,Always,Always,1,Yes,Government or professional reports,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Always,Always,Always,Always,Do not know,Always,Always,Always,Sometimes,Always,Always,Always,no change,Strongly Agree,Agree,Agree,Neutral,Agree,global cyber security,Yes,"No, I would not",Not Technical,Central_Province,No,Yes
Female,Adult,Undergraduate,Education,Eastern Province,Frequently,Intermediate,3,Private Wi-Fi,3,Windows,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Very secure,Always,Always,Always,Always,Sometimes,Always,Often,Sometimes,Always,Always,Always,3,Yes,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc., Rely on automatic updates",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Always,Do not know,Always,Always,Sometimes,Do not know,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,public awareness,Yes,"No, I would not",Not Technical,Eastern Province,No,Yes
Male,Adult,Postgraduate,Media,Riyadh,Frequently,Intermediate,4,Private Wi-Fi,5,Windows,Android,"Anti-virus, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Sometimes,Never,Often,Always,Sometimes,Seldom,Seldom,Seldom,Seldom,Often,Seldom,3,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Government or professional reports","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Always,Do not know,Sometimes,Do not know,Do not know,Never,Somtimes,Sometimes,Always,Always,Sometimes,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Central_Province,Yes,Yes
Male,Adult,Postgraduate,Computer Science,Makkah,Frequently,Expert ,3,Private Wi-Fi,5,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Very secure,Often,Never,Always,Often,Never,Sometimes,Always,Seldom,Sometimes,Always,Always,1,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs, Government or professional reports","Government websites (e.g. CERT),Internet service provider ISPs, Rely on automatic updates",Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Always,Sometimes,Sometimes,Do not know,Do not know,Do not know,Always,Sometimes,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,strict laws and punishments,No,"Yes, I would",Technical,Western_Province,Yes,Yes
Male,Mature adulthood,Postgraduate,Education,Makkah,Frequently,Intermediate,2,Private Wi-Fi,4,Windows,Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Not sure ,Always,Never,Always,Always,Never,Sometimes,Seldom,Never,Never,Always,Always,4,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Sometimes,Do not know,Sometimes,Sometimes,Do not know,Sometimes,Always,Do not know,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,Yes,"No, I would not",Not Technical,Western_Province,Yes,Yes
Male,Early adulthood,Postgraduate,Engineering,Qassim,Frequently,Expert ,4,Private Wi-Fi,6,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Not sure ,Always,Never,Always,Always,Never,Never,Often,Seldom,Never,Always,Often,2,Yes,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Always,Never,Always,Never,Sometimes,Never,Always,Always,Sometimes,Never,Never,Never,serious issue,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Don’t know,Yes,"No, I would not",Not Technical,Central_Province,No,Yes
Male,Early adulthood,High School,Computer Science,Makkah,Frequently,Intermediate,4,Public Wi-Fi,5,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Very secure,Often,Seldom,Always,Always,Seldom,Often,Always,Never,Seldom,Always,Always,1,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc.","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs, Rely on automatic updates",Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Always,Never,Do not know,Always,Always,Never,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,strict laws and punishments,No,"Yes, I would",Technical,Western_Province,Yes,Yes
Female,Early adulthood,Undergraduate,Chemsitry,Makkah,Frequently,Intermediate,1,Cellular network,3,Windows,IOS,"Software update,Backup",Very secure,Often,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,1,I don't know,"Newspapers, magazines, Posters","Internet, website, email bulletins, blogs, etc.",Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,vanish eventually,Strongly Agree,Agree,Agree,Agree,Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
